country	year	hbv_deaths_num	hbv_diagnosed_num	hbv_diagnosis_rate_pct	hbv_livingwith_num	hbv_new_infections_num	hbv_prevalence_hbsag_pct	hbv_prevalence_pct	hbv_treatment_num	hbv_treatment_rate_diagnosed_pct	hbv_treatment_rate_infected_pct	hbv_vaccine_hepb3_coverage_pct	hcv_deaths_num	hcv_diagnosed_num	hcv_diagnosis_rate_pct	hcv_livingwith_num	hcv_new_infections_num	hcv_prevalence_pct	hcv_treatment_cumulative_num	hcv_treatment_rate_diagnosed_pct
AFG	2000											0.0								
AFG	2001											0.0								
AFG	2002											0.0								
AFG	2003											0.0								
AFG	2004											0.0								
AFG	2005											0.0								
AFG	2006											0.0								
AFG	2007											63.0								
AFG	2008											64.0								
AFG	2009											63.0								
AFG	2010											66.0								
AFG	2011											68.0								
AFG	2012											67.0								
AFG	2013											64.0								
AFG	2014											62.0								
AFG	2015						0.8					64.0								
AFG	2016											66.0								
AFG	2017											64.0								
AFG	2018											68.0								
AFG	2019											65.0								
AFG	2020						0.9450000000000001					61.0								
AFG	2021											55.0								
AFG	2022	1613.0	85658.0	11.0	748800.0	5225.0		1.8	17093.0	20.0	2.0	58.0	784.0	27779.0	14.0	211999.0	5781.0	0.2	2838.0	9.0
AFG	2023											60.0								
AFG	2024											59.0								
AGO	2000											0.0								
AGO	2001											0.0								
AGO	2002											0.0								
AGO	2003											0.0								
AGO	2004											0.0								
AGO	2005											0.0								
AGO	2006											0.0								
AGO	2007											43.0								
AGO	2008											45.0								
AGO	2009											47.0								
AGO	2010											49.0								
AGO	2011											50.0								
AGO	2012											52.0								
AGO	2013											54.0								
AGO	2014											55.0								
AGO	2015						7.15					57.0								
AGO	2016											59.0								
AGO	2017											58.0								
AGO	2018											67.0								
AGO	2019											64.0								
AGO	2020						7.385					59.0								
AGO	2021											55.0								
AGO	2022	14992.0	73091.0	3.0	2715233.0	51873.0		7.6	7551.0	10.0	0.0	54.0	1132.0	24227.0	13.0	182952.0	5443.0	0.5	11.0	0.0
AGO	2023											66.0								
AGO	2024											64.0								
ALB	2000											96.0								
ALB	2001											96.0								
ALB	2002											96.0								
ALB	2003											97.0								
ALB	2004											99.0								
ALB	2005											98.0								
ALB	2006											98.0								
ALB	2007											98.0								
ALB	2008											99.0								
ALB	2009											98.0								
ALB	2010											99.0								
ALB	2011											99.0								
ALB	2012											99.0								
ALB	2013											99.0								
ALB	2014											99.0								
ALB	2015						5.3500000000000005					99.0								
ALB	2016											99.0								
ALB	2017											99.0								
ALB	2018											99.0								
ALB	2019											99.0								
ALB	2020						3.89					98.0								
ALB	2021											98.0								
ALB	2022	691.0	7385.0	4.0	185474.0	90.0		6.5	186.0	3.0	0.0	97.0	102.0	4319.0	33.0	21012.0	363.0	0.9	4152.0	50.0
ALB	2023											97.0								
ALB	2024											97.0								
AND	2000											84.0								
AND	2001											84.0								
AND	2002											84.0								
AND	2003											81.0								
AND	2004											77.0								
AND	2005											79.0								
AND	2006											84.0								
AND	2007											91.0								
AND	2008											97.0								
AND	2009											96.0								
AND	2010											96.0								
AND	2011											99.0								
AND	2012											97.0								
AND	2013											94.0								
AND	2014											95.0								
AND	2015						0.35					94.0								
AND	2016											94.0								
AND	2017											98.0								
AND	2018											98.0								
AND	2019											98.0								
AND	2020						0.23500000000000001					98.0								
AND	2021											98.0								
