sequence_id	genotype	is_recombinant	breakpoint_start	breakpoint_end	p_value	methods	parent_1	parent_2	p1_identity_recomb	p2_identity_recomb	p1_identity_nonrecomb	p2_identity_nonrecomb
PZ302480.1	Genotype 3	true	776	10823	0.000000000000	3Seq	ref_D84265	ref_D28917	0.6677	0.9231	0.9559	0.8956
PZ302479.1	Genotype 3	true	781	10717	0.000000000010	3Seq	ref_EU643834	ref_D49374	0.6681	0.8878	0.9624	0.9135
PZ302477.1	Genotype 3	true	765	10942	0.000000000082	3Seq	ref_AF064490	ref_D28917	0.6796	0.9235	0.9402	0.8092
PV289218.1	Genotype 3	true	828	10705	0.000000000000	3Seq	ref_AB661382	ref_D28917	0.6459	0.9480	0.9626	0.8021
PV289216.1	Genotype 3	true	987	10705	0.000000000000	3Seq	ref_AB677530	ref_D28917	0.6611	0.9496	0.9371	0.8144
PV289215.1	Genotype 3	true	815	10705	0.000000000001	3Seq	ref_AB661388	ref_D28917	0.6414	0.9494	0.9655	0.8678
PV289210.1	Genotype 3	true	995	10705	0.000000000000	3Seq	ref_AB622121	ref_D28917	0.6659	0.9343	0.9766	0.7953
LC368353.1	Genotype 3	true	1134	9353	0.000000001241	3Seq	ref_JN714194	ref_D28917	0.8906	0.9341	0.9596	0.9347
KU746825.1	Genotype 3	true	6915	10837	0.000000000000	3Seq	ref_D28917	ref_EF407457	0.6737	0.9388	0.8911	0.6853
GU294484.1	Genotype 3	true	724	10918	0.000000000000	3Seq	ref_EU246932	ref_D28917	0.6626	0.9012	0.9829	0.9310
PZ302490.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7976	0.9235	0.8577	0.6741
PZ302476.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7941	0.9188	0.8534	0.6731
PZ302467.1	Genotype 1	true	4941	11103	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8008	0.9270	0.8589	0.6780
PZ302458.1	Genotype 1	true	4919	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7966	0.9276	0.8505	0.6737
PX387012.1	Genotype 1	true	4750	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7977	0.9290	0.8595	0.6635
PX386939.1	Genotype 1	true	4886	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7924	0.9264	0.8554	0.6677
PX386932.1	Genotype 1	true	4789	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7980	0.9269	0.8511	0.6664
PX386917.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7918	0.9176	0.8550	0.6730
PX386908.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7973	0.9187	0.8537	0.6787
PX445002.1	Genotype 1	true	3489	11546	0.000000000000	3Seq	ref_EU392175	ref_KC248194	0.6990	0.9171	0.8986	0.7634
PX386861.1	Genotype 1	true	4941	11477	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7956	0.9251	0.8587	0.6802
PX386852.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7895	0.9228	0.8547	0.6790
PX386814.1	Genotype 1	true	4885	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7907	0.9264	0.8582	0.6779
PX386806.1	Genotype 1	true	4789	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7950	0.9139	0.8504	0.6671
PX386786.1	Genotype 1	true	4845	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7940	0.9232	0.8571	0.6713
PX386784.1	Genotype 1	true	4833	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7949	0.9162	0.8549	0.6716
PX386779.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7944	0.9258	0.8587	0.6744
PQ660854.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7926	0.9312	0.8514	0.6703
PQ660850.1	Genotype 1	true	4914	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7942	0.9321	0.8518	0.6742
PQ660843.1	Genotype 1	true	4845	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7937	0.9278	0.8517	0.6740
PQ660834.1	Genotype 1	true	4845	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7926	0.9285	0.8501	0.6734
PQ660832.1	Genotype 1	true	4919	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7999	0.9336	0.8508	0.6768
PQ660828.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7924	0.9344	0.8520	0.6710
PQ660825.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7938	0.9340	0.8507	0.6700
PQ660824.1	Genotype 1	true	4845	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7940	0.9301	0.8520	0.6690
PV289042.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8023	0.9302	0.8503	0.6653
PV184518.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8012	0.9310	0.8512	0.6705
PQ365527.1	Genotype 1	true	4795	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7957	0.9178	0.8550	0.6677
OR860300.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7993	0.9356	0.8629	0.6685
OR497925.1	Genotype 1	true	4941	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7992	0.9323	0.8535	0.6732
OR497900.1	Genotype 1	true	4885	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7941	0.9243	0.8508	0.6692
OR497897.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7996	0.9337	0.8506	0.6581
OR497883.1	Genotype 1	true	4789	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7986	0.9315	0.8503	0.6578
OR497879.1	Genotype 1	true	4794	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7991	0.9337	0.8515	0.6587
OR497878.1	Genotype 1	true	4885	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7948	0.9282	0.8500	0.6695
OR497876.1	Genotype 1	true	4437	11548	0.000000000000	3Seq	ref_AB031663	ref_EU781827	0.6704	0.9162	0.8930	0.6702
ON630816.1	Genotype 1	true	4885	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7959	0.9335	0.8549	0.6735
AB677531.1	Genotype 1	true	4541	11284	0.000000000000	3Seq	ref_AB030907	ref_D90208	0.6734	0.9194	0.9169	0.6785
AB677530.1	Genotype 1	true	4541	11284	0.000000000000	3Seq	ref_AB030907	ref_D90208	0.6746	0.9199	0.9191	0.6781
AB677529.1	Genotype 1	true	4541	11284	0.000000000000	3Seq	ref_AB030907	ref_D90208	0.6746	0.9206	0.9191	0.6791
OP894653.1	Genotype 1	true	1766	4692	0.000000000000	3Seq	ref_KJ439776	ref_KC248197	0.8114	0.9512	0.9310	0.8962
MW675789.1	Genotype 1	true	4917	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8009	0.9397	0.8534	0.6741
MW675788.1	Genotype 1	true	4917	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8009	0.9397	0.8537	0.6738
LC368332.1	Genotype 1	true	4885	10374	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7901	0.9270	0.8529	0.6743
MW690020.1	Genotype 1	true	4917	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7963	0.9351	0.8714	0.6827
MW689989.1	Genotype 1	true	4833	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7970	0.9253	0.8522	0.6784
MW689985.1	Genotype 1	true	4845	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7984	0.9247	0.8527	0.6754
MW689982.1	Genotype 1	true	4941	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7981	0.9277	0.8514	0.6835
MW689957.1	Genotype 1	true	4919	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7968	0.9272	0.8538	0.6784
MT632192.1	Genotype 1	true	4885	11125	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7961	0.9289	0.8603	0.6773
MT632116.1	Genotype 1	true	4917	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7979	0.9404	0.8661	0.6782
MK548369.1	Genotype 1	true	4688	11548	0.000000000000	3Seq	ref_AB030907	ref_EF407457	0.6646	0.9123	0.8885	0.6593
MK548367.1	Genotype 1	true	4698	11548	0.000000000000	3Seq	ref_AB030907	ref_EF407457	0.6693	0.9118	0.9020	0.6628
MK527509.1	Genotype 1	true	4442	11575	0.000000000000	3Seq	ref_AB031663	ref_M58335	0.6685	0.9010	0.8895	0.6754
MK039720.1	Genotype 1	true	4437	11575	0.000000000000	3Seq	ref_AB031663	ref_EU781828	0.6633	0.9091	0.9031	0.6975
KX621542.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.8055	0.9381	0.8517	0.6768
KX621529.1	Genotype 1	true	4794	11113	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7994	0.9315	0.8572	0.6679
KX621526.1	Genotype 1	true	4885	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7980	0.9375	0.8581	0.6731
KX621512.1	Genotype 1	true	4869	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7976	0.9356	0.8509	0.6764
KX621473.1	Genotype 1	true	4889	11478	0.000000000000	3Seq	ref_AY651061	ref_JF779679	0.7948	0.9294	0.8506	0.6756
