accession_id	length	is_complete	is_annotated	isolate_collection_date	location	region	submitter_country	release_date	update_date
PZ302493.1	9285.0			2025-12-15	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302492.1	9445.0			2025-12-08	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302491.1	9433.0			2025-12-05	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302490.1	9002.0		True	2025-11-04	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302489.1	9073.0			2025-10-13	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302488.1	9444.0		True	2025-09-30	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302487.1	9217.0		True	2025-09-12	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302486.1	9442.0		True	2025-09-02	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302485.1	9463.0			2025-09-01	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302484.1	9167.0		True	2025-08-21	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302483.1	9425.0		True	2025-08-29	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302482.1	9610.0			2025-08-27	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302481.1	9421.0		True	2025-08-27	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302480.1	9514.0			2025-08-26	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302479.1	9594.0			2025-08-14	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PZ302478.1	9348.0			2025-08-12	India	Asia	India	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
