sample	virus	genotype	subgenotype	gene	drug	mutation	detected	type	is_recombinant	breakpoint_start	breakpoint_end	p_value	methods	parent_1	parent_2
MN614141.1	HEV	AL_3	AL_3c					genotype	false						
PQ557135.1	HEV	AL_3	AL_3ra					genotype	false						
JQ013792.1	HEV	AL_3	AL_3ra					genotype	false						
MW355335.1	HEV	AL_3	AL_3c					genotype	false						
MW355361.1	HEV	AL_3	AL_3f					genotype	false						
MF444067.1	HEV	AL_3	AL_3f					genotype	false						
PV089664.1	HEV	AL_3						genotype	false						
KC166968.1	HEV	AL_3	AL_3f					genotype	false						
MW355307.1	HEV	AL_3	AL_3h					genotype	false						
MF444032.1	HEV	AL_3	AL_3f					genotype	false						
MW355357.1	HEV	AL_3	AL_3c					genotype	false						
MW355300.1	HEV	AL_3	AL_3c					genotype	false						
PQ206572.1	HEV	AL_4	AL_4d					genotype	false						
KT818608.1	HEV	AL_7	AL_7_KJ496144					genotype	false						
MH377725.1	HEV	AL_3	AL_3_EU360977					genotype	false						
MF444054.1	HEV	AL_3	AL_3f					genotype	false						
MN646694.1	HEV	AL_3						genotype	false						
MF444123.1	HEV	AL_3	AL_3f					genotype	false						
HQ709170.1	HEV	AL_3	AL_3a					genotype	false						
MW355319.1	HEV	AL_3						genotype	false						
MF444044.1	HEV	AL_3	AL_3c					genotype	false						
MW355336.1	HEV	AL_3	AL_3f					genotype	false						
MW355302.1	HEV	AL_3	AL_3h					genotype	false						
MF444099.1	HEV	AL_3	AL_3ra					genotype	false						
PX724179.1	HEV							genotype	false						
MF444040.1	HEV	AL_3	AL_3f					genotype	false						
PX400206.1	HEV							genotype	false						
MW355317.1	HEV	AL_3	AL_3i					genotype	false						
KC692453.1	HEV	AL_4	AL_4a					genotype	false						
PX724178.1	HEV							genotype	false						
MW355365.1	HEV	AL_3	AL_3c					genotype	false						
MW355323.1	HEV	AL_3	AL_3c					genotype	false						
MF480297.1	HEV	AL_3						genotype	false						
MF444086.1	HEV	AL_3	AL_3e					genotype	false						
MH184580.1	HEV	AL_3	AL_3e					genotype	false						
MF444048.1	HEV	AL_3	AL_3f					genotype	false						
MF444091.1	HEV	AL_3	AL_3f					genotype	false						
