sample	virus	genotype	subgenotype	gene	drug	mutation	detected	type
MN614141.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
PQ557135.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
JQ013792.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
MW355335.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355361.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444067.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
PV089664.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
KC166968.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355307.1	HEV	AL_3	AL_3h	NA	NA	NA	NA	genotype
MF444032.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355357.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355300.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
PQ206572.1	HEV	AL_4	AL_4d	NA	NA	NA	NA	genotype
KT818608.1	HEV	AL_7	AL_7_KJ496144	NA	NA	NA	NA	genotype
MH377725.1	HEV	AL_3	AL_3_EU360977	NA	NA	NA	NA	genotype
MF444054.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MN646694.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MF444123.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
HQ709170.1	HEV	AL_3	AL_3a	NA	NA	NA	NA	genotype
MW355319.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MF444044.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355336.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355302.1	HEV	AL_3	AL_3h	NA	NA	NA	NA	genotype
MF444099.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
PX724179.1	HEV	NA	NA	NA	NA	NA	NA	genotype
MF444040.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
PX400206.1	HEV	NA	NA	NA	NA	NA	NA	genotype
MW355317.1	HEV	AL_3	AL_3i	NA	NA	NA	NA	genotype
KC692453.1	HEV	AL_4	AL_4a	NA	NA	NA	NA	genotype
PX724178.1	HEV	NA	NA	NA	NA	NA	NA	genotype
MW355365.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355323.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF480297.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MF444086.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
MH184580.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
MF444048.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444091.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MK192406.1	HEV	NA	NA	NA	NA	NA	NA	genotype
HQ389543.1	HEV	AL_3	AL_3a	NA	NA	NA	NA	genotype
MW355353.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
DQ459342.1	HEV	AL_1	AL_1a	NA	NA	NA	NA	genotype
MH504156.1	HEV	AL_1	AL_1a	NA	NA	NA	NA	genotype
MK192409.1	HEV	NA	NA	NA	NA	NA	NA	genotype
GU206559.1	HEV	AL_4	AL_4d	NA	NA	NA	NA	genotype
MW355256.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355376.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355354.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444035.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
KY436505.1	HEV	AL_1	AL_1a	NA	NA	NA	NA	genotype
MH504140.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
MF444142.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
KU176129.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MF444070.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355295.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
PQ878621.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
KR872416.1	HEV	AL_4	AL_4h	NA	NA	NA	NA	genotype
MF567575.1	HEV	AL_4	AL_4a	NA	NA	NA	NA	genotype
MW355276.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444033.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355345.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MG783569.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
JQ953666.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444045.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
KC163335.1	HEV	AL_4	AL_4d	NA	NA	NA	NA	genotype
MH504148.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
MF444136.1	HEV	AL_3	AL_3h	NA	NA	NA	NA	genotype
MH184582.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
MF444134.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355267.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355382.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MW355242.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH377721.1	HEV	AL_3	AL_3i	NA	NA	NA	NA	genotype
MF444079.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355227.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MN646690.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MH504138.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
JQ026407.1	HEV	AL_3	AL_3e	NA	NA	NA	NA	genotype
MW355286.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355254.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355309.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
PV089668.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
JN564006.1	HEV	AL_3	AL_3a	NA	NA	NA	NA	genotype
MF444094.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH504147.1	HEV	AL_3	NA	NA	NA	NA	NA	genotype
MW355389.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
HQ389544.1	HEV	AL_3	AL_3a	NA	NA	NA	NA	genotype
MF444028.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444111.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
JN837481.1	HEV	AL_3	AL_3a	NA	NA	NA	NA	genotype
MF444108.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MF444113.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MN646692.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH504135.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
MW355393.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
PQ160053.1	HEV	AL_1	AL_1e	NA	NA	NA	NA	genotype
MW355258.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH504137.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
KY496200.1	HEV	AL_3	AL_3ra	NA	NA	NA	NA	genotype
MF444133.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MW355310.1	HEV	AL_3	AL_3f	NA	NA	NA	NA	genotype
MH504158.1	HEV	AL_1	AL_1a	NA	NA	NA	NA	genotype
MW355283.1	HEV	AL_3	AL_3c	NA	NA	NA	NA	genotype
