sequence_id	genotype	is_recombinant	breakpoint_start	breakpoint_end	p_value	methods	parent_1	parent_2	p1_identity_recomb	p2_identity_recomb	p1_identity_nonrecomb	p2_identity_nonrecomb
MW355305.1	AL_3	true	8429	9851	0.000000001216	3Seq	ref_AB369687	ref_EU723513	0.9191	0.9494	0.9107	0.8752
MW355292.1	AL_3	true	8429	10148	0.000000344128	3Seq	ref_AB369687	ref_EU723513	0.9052	0.9284	0.9043	0.8722
MW355247.1	AL_3	true	8429	10017	0.000000000715	3Seq	ref_AB369687	ref_EU723513	0.9213	0.9496	0.9084	0.8726
MW355238.1	AL_3	true	567	8429	0.000000004808	3Seq	ref_EU723513	ref_AB369687	0.8690	0.9047	0.9291	0.9085
MN646693.1	AL_3	true	8429	10352	0.000000084716	3Seq	ref_AB369687	ref_EU723513	0.9168	0.9390	0.9055	0.8729
MF444137.1	AL_3	true	8429	10109	0.000000017414	3Seq	ref_AB369687	ref_EU723513	0.9208	0.9458	0.9086	0.8748
MF444124.1	AL_3	true	8429	10352	0.000000044847	3Seq	ref_AB369687	ref_EU723513	0.9247	0.9464	0.9094	0.8748
MF444108.1	AL_3	true	261	8329	0.000000000000	3Seq	ref_EU723513	ref_AB369687	0.8716	0.8992	0.9730	0.9223
MF444107.1	AL_3	true	8429	10103	0.000000007983	3Seq	ref_AB369687	ref_EU723513	0.9253	0.9516	0.9138	0.8796
MF444093.1	AL_3	true	261	8429	0.000000069426	3Seq	ref_EU723513	ref_AB369687	0.8719	0.9061	0.9387	0.9193
MF444073.1	AL_3	true	8429	10017	0.000000234221	3Seq	ref_AB369687	ref_EU723513	0.9251	0.9490	0.9054	0.8730
MF444066.1	AL_3	true	8429	10017	0.000000000784	3Seq	ref_AB369687	ref_EU723513	0.9282	0.9553	0.9130	0.8756
MF444061.1	AL_3	true	8429	10017	0.000000006426	3Seq	ref_AB369687	ref_EU723513	0.9188	0.9452	0.9054	0.8706
MF444055.1	AL_3	true	8429	10352	0.000000001033	3Seq	ref_AB369687	ref_EU723513	0.9199	0.9475	0.9073	0.8754
MF444050.1	AL_3	true	8429	10352	0.000000084716	3Seq	ref_AB369687	ref_EU723513	0.9168	0.9390	0.9059	0.8733
MF444036.1	AL_3	true	8429	10109	0.000000020987	3Seq	ref_AB369687	ref_EU723513	0.9214	0.9464	0.9104	0.8762
PQ160055.1	AL_1	true	6136	6333	0.000001707978	3Seq	ref_FJ457024	ref_AB369688	0.8182	0.8990	0.8824	0.7458
PQ160052.1	AL_1	true	6136	6333	0.000000550974	3Seq	ref_FJ457024	ref_AB369688	0.8131	0.8990	0.8812	0.7458
PQ160049.1	AL_1	true	6136	6333	0.000002094844	3Seq	ref_FJ457024	ref_AB369688	0.8182	0.8990	0.8833	0.7484
JF443725.1	AL_1	true	1198	2787	0.000000000001	3Seq	ref_FJ457024	ref_JF443721	0.9019	0.9495	0.9708	0.9551
JF443724.1	AL_1	true	1159	2316	0.000000522580	3Seq	ref_FJ457024	ref_JF443721	0.9082	0.9608	0.9647	0.9550
JF443720.1	AL_1	true	1219	3239	0.000000000019	3Seq	ref_M73218	ref_FJ457024	0.9616	0.9903	0.9665	0.9491
JF443719.1	AL_1	true	1250	3239	0.000000015926	3Seq	ref_M73218	ref_FJ457024	0.9492	0.9667	0.9649	0.9431
