sequence_id	is_recombinant	breakpoint_start	breakpoint_end	p_value	methods	parent_1	parent_2
PZ302493.1	true	5215	9736	0.000000004230	3Seq	ref_NC_030791	ref_AB677530
PZ302492.1	true	5164	9642	0.000000002136	3Seq	ref_EF632071	ref_AB677530
PZ302491.1	true	1913	5268	0.000000001875	3Seq	ref_JX227957	ref_NC_030791
PZ302489.1	true	4354	10572	0.000000000514	3Seq	ref_FN666428	ref_DQ364460
PZ302488.1	false	0	0				
PZ302486.1	true	1899	2139	0.000000000226	3Seq	ref_KJ470618	ref_EU798760
PZ302485.1	true	5168	10452	0.000000003592	3Seq	ref_FN666429	ref_DQ364460
PZ302483.1	true	1902	2398	0.000000000051	3Seq	ref_KJ470618	ref_EF424626
PZ302481.1	false	0	0				
PZ302480.1	true	776	10823	0.000000000000	3Seq	ref_D84265	ref_D28917
PZ302479.1	true	781	10717	0.000000000010	3Seq	ref_EU643834	ref_D49374
PZ302478.1	true	1912	5325	0.000000000002	3Seq	ref_JX227957	ref_NC_030791
PZ302477.1	true	765	10942	0.000000000082	3Seq	ref_AF064490	ref_D28917
PZ302475.1	false	0	0				
PZ302474.1	true	3893	10561	0.000000000062	3Seq	ref_HQ537007	ref_AB622121
PZ302470.1	true	5215	10631	0.000000001400	3Seq	ref_NC_030791	ref_AB622121
PZ302469.1	true	5669	10572	0.000000000147	3Seq	ref_FN666429	ref_DQ364460
PZ302465.1	true	2131	5337	0.000000001729	3Seq	ref_JX227957	ref_NC_030791
PZ302464.1	true	5110	10450	0.000000001307	3Seq	ref_JF735114	ref_DQ364460
PZ302463.1	true	4803	9795	0.000000000082	3Seq	ref_EF632071	ref_DQ364460
PZ302462.1	true	1891	2211	0.000000000038	3Seq	ref_FJ407092	ref_EU798760
PZ302461.1	true	5920	10475	0.000000000301	3Seq	ref_JF735120	ref_AB677530
PZ302459.1	true	4359	10427	0.000000009816	3Seq	ref_JF735116	ref_DQ364460
PZ302457.1	true	3893	10561	0.000000008938	3Seq	ref_HQ537007	ref_AB622121
PZ302456.1	true	5079	10450	0.000000000555	3Seq	ref_JF735114	ref_DQ364460
PZ302455.1	true	1906	5337	0.000000000193	3Seq	ref_JF735130	ref_NC_030791
PX387039.1	true	4338	10572	0.000000000051	3Seq	ref_FN666429	ref_DQ364460
PX387038.1	true	5187	9079	0.000000000779	3Seq	ref_EF424629	ref_AB677530
PX387034.1	true	2102	2506	0.000000001040	3Seq	ref_FJ407092	ref_EF424626
PX387031.1	true	3828	9357	0.000000008319	3Seq	ref_EU392172	ref_AB677527
PX387027.1	true	3730	6043	0.000000008989	3Seq	ref_DQ314806	ref_JF735120
PX387026.1	true	3893	10561	0.000000001179	3Seq	ref_HQ537007	ref_AB622121
PX387017.1	true	4338	10528	0.000000001888	3Seq	ref_FN666429	ref_DQ364460
PX387005.1	true	4338	10450	0.000000000639	3Seq	ref_FN666428	ref_DQ364460
PX386973.1	true	5161	9109	0.000000000578	3Seq	ref_JX227976	ref_AB677527
PX386972.1	true	1893	2412	0.000000000043	3Seq	ref_JF735124	ref_HQ639944
PX386970.1	true	3982	10564	0.000000002211	3Seq	ref_JF735115	ref_JF779679
PX386968.1	true	2808	3949	0.000000000000	3Seq	ref_JF735126	ref_Y12083
PX386967.1	true	1954	5337	0.000000000047	3Seq	ref_JF735130	ref_NC_030791
PX386966.1	true	5607	10477	0.000000002642	3Seq	ref_D00944	ref_DQ364460
PX386960.1	true	3896	10557	0.000000000031	3Seq	ref_HQ537007	ref_DQ364460
PX386959.1	true	4545	9294	0.000000000956	3Seq	ref_EF632071	ref_AB677527
PX386957.1	true	3893	10561	0.000000004441	3Seq	ref_HQ537007	ref_AB622121
PX386950.1	true	1243	4686	0.000000001304	3Seq	ref_JF779679	ref_NC_030791
PX386946.1	true	4335	10636	0.000000000001	3Seq	ref_NC_030791	ref_DQ364460
PX386945.1	true	4338	10561	0.000000003059	3Seq	ref_FN666429	ref_DQ364460
PX386943.1	true	1218	4686	0.000000000070	3Seq	ref_JF779679	ref_NC_030791
PX386942.1	true	4338	10561	0.000000001621	3Seq	ref_FN666429	ref_DQ364460
PX386941.1	true	1207	5474	0.000000000757	3Seq	ref_JF779679	ref_NC_030791
PX386934.1	true	5660	9642	0.000000000485	3Seq	ref_EF632071	ref_AB677530
PX386933.1	true	1907	2488	0.000000000147	3Seq	ref_KJ470618	ref_EF424626
PX386929.1	true	3893	10561	0.000000000164	3Seq	ref_HQ537007	ref_AB622121
PX386928.1	true	5652	9426	0.000000001674	3Seq	ref_NC_009825	ref_AB677530
PX386925.1	true	5260	10551	0.000000001160	3Seq	ref_FN666429	ref_DQ364460
PX386921.1	false	0	0				
PX386920.1	true	2099	2502	0.000000000033	3Seq	ref_FJ407092	ref_EF424626
PX386919.1	true	1888	2404	0.000000000312	3Seq	ref_KJ470618	ref_DQ835767
PX386918.1	true	1896	2150	0.000000000301	3Seq	ref_FJ407092	ref_EU158186
PX386916.1	true	3893	10561	0.000000001323	3Seq	ref_HQ537007	ref_AB622121
PX386914.1	true	2885	5337	0.000000000011	3Seq	ref_JF735127	ref_NC_030791
PX386912.1	false	0	0				
PX386911.1	true	4222	10557	0.000000000026	3Seq	ref_HQ537007	ref_DQ364460
PX386910.1	true	5666	10517	0.000000000136	3Seq	ref_FN666429	ref_AB677530
