accession_id	length	is_complete	is_annotated	isolate_collection_date	location	region	submitter_country	release_date	update_date
px585032.1	3190.0	none	true	2023-03-02	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585031.1	3190.0	none	true	2023-03-02	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585030.1	3190.0	none	true	2023-03-02	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585029.1	3190.0	none	true	2023-03-02	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585028.1	3190.0	none	true	2023-03-02	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585027.1	3190.0	none	true	2023-03-02	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585026.1	3190.0	none	true	2023-03-02	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585025.1	3190.0	none	true	2023-03-02	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585024.1	3190.0	none	true	2023-03-02	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585023.1	3190.0	none	true	2023-03-02	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585022.1	3190.0	none	true	2023-03-02	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585021.1	3190.0	none	true	2023-03-02	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585020.1	3190.0	none	true	2023-03-02	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585019.1	3190.0	none	true	2023-03-02	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585018.1	3190.0	none	true	2023-03-02	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585017.1	3190.0	none	true	2023-03-02	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585016.1	3190.0	none	true	2023-03-02	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585015.1	3190.0	none	true	2023-03-02	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585014.1	3190.0	none	true	2023-03-02	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585013.1	3190.0	none	true	2023-03-02	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585012.1	3190.0	none	true	2023-03-02	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585011.1	3190.0	none	true	2023-03-02	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585010.1	3190.0	none	true	2023-02-25	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585009.1	3190.0	none	true	2023-02-24	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585008.1	3190.0	none	true	2023-02-24	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585007.1	3190.0	none	true	2023-02-24	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585006.1	3190.0	none	true	2023-02-24	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585005.1	3190.0	none	true	2023-02-23	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585004.1	3190.0	none	true	2023-02-23	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585003.1	3190.0	none	true	2023-02-23	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585002.1	3190.0	none	true	2023-03-01	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585001.1	3190.0	none	true	2023-03-01	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px585000.1	3190.0	none	true	2023-03-01	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px584999.1	3190.0	none	true	2023-03-01	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px584998.1	3190.0	none	true	2023-03-01	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
px584997.1	3190.0	none	true	2023-03-01	china	asia	china	2026-06-07t00:00:00z	2026-06-07t00:00:00z
