accession_id	length	is_complete	is_annotated	isolate_collection_date	location	region	submitter_country	release_date	update_date
PX971288.1	7207.0		True	2025	Venezuela: Bolivar State	South America	Venezuela	2026-04-28T00:00:00Z	2026-04-28T00:00:00Z
PX724179.1	7143.0		True	2025-05-15	China: Tangshan	Asia	China	2026-03-04T00:00:00Z	2026-03-04T00:00:00Z
PX724178.1	7143.0		True	2025-05-15	China: Tangshan	Asia	China	2026-03-04T00:00:00Z	2026-03-04T00:00:00Z
PX724177.1	7143.0		True	2025-05-15	China: Tangshan	Asia	China	2026-03-04T00:00:00Z	2026-03-04T00:00:00Z
PX724176.1	7143.0		True	2025-01-09	China: Tangshan	Asia	China	2026-03-04T00:00:00Z	2026-03-04T00:00:00Z
PX724175.1	7101.0		True	2025-03-15	China: Tianjin	Asia	China	2026-03-04T00:00:00Z	2026-03-04T00:00:00Z
PX597112.1	7116.0		True	2018	Central African Republic	Africa	France	2026-01-31T00:00:00Z	2026-01-31T00:00:00Z
PX597111.1	7156.0		True	2018	Central African Republic	Africa	France	2026-01-31T00:00:00Z	2026-01-31T00:00:00Z
PX597110.1	7192.0		True	2018	Central African Republic	Africa	France	2026-01-31T00:00:00Z	2026-01-31T00:00:00Z
PX597109.1	7159.0		True	2018	Central African Republic	Africa	France	2026-01-31T00:00:00Z	2026-01-31T00:00:00Z
PX400206.1	7222.0		True	2024	China	Asia	China	2025-10-05T00:00:00Z	2025-10-05T00:00:00Z
PV605258.1	7063.0		True	2022	China: Guangdong	Asia	China	2025-10-15T00:00:00Z	2025-10-15T00:00:00Z
PV089671.1	7217.0		True	2024	Australia: Queensland	Oceania	Australia	2025-03-05T00:00:00Z	2025-03-05T00:00:00Z
PV089670.1	7250.0		True	2024	Australia: Queensland	Oceania	Australia	2025-03-05T00:00:00Z	2025-03-05T00:00:00Z
PV089669.1	7202.0		True	2023	Australia: Queensland	Oceania	Australia	2025-03-05T00:00:00Z	2025-03-05T00:00:00Z
PV089668.1	7233.0		True	2023	Australia: Queensland	Oceania	Australia	2025-03-05T00:00:00Z	2025-03-05T00:00:00Z
PV089667.1	7223.0		True	2023	Australia: Queensland	Oceania	Australia	2025-03-05T00:00:00Z	2025-03-05T00:00:00Z
PV089666.1	7202.0		True	2025	Australia: Queensland	Oceania	Australia	2025-03-05T00:00:00Z	2025-03-05T00:00:00Z
PV089665.1	7188.0		True	2022	Australia: Queensland	Oceania	Australia	2025-03-05T00:00:00Z	2025-03-05T00:00:00Z
PV089664.1	7206.0		True	2023	Australia: Queensland	Oceania	Australia	2025-03-05T00:00:00Z	2025-03-05T00:00:00Z
PV089663.1	7216.0		True	2024	Australia: Queensland	Oceania	Australia	2025-03-05T00:00:00Z	2025-03-05T00:00:00Z
PV089662.1	7217.0		True	2023	Australia: Queensland	Oceania	Australia	2025-03-05T00:00:00Z	2025-03-05T00:00:00Z
PQ878621.1	7014.0		True	2021-09	France	Europe	France	2025-02-26T00:00:00Z	2025-02-26T00:00:00Z
PQ557138.1	7052.0			2023-09-16	China: Shijiazhuang	Asia	China	2024-12-16T00:00:00Z	2024-12-16T00:00:00Z
PQ557137.1	7144.0			2022-08-13	China: Shijiazhuang	Asia	China	2024-12-16T00:00:00Z	2024-12-16T00:00:00Z
PQ557136.1	7045.0			2024-08-13	China: Baoding	Asia	China	2024-12-16T00:00:00Z	2024-12-16T00:00:00Z
PQ557135.1	7044.0			2024-08-13	China: Baoding	Asia	China	2024-12-16T00:00:00Z	2024-12-16T00:00:00Z
PQ557134.1	7338.0			2024-04-17	China: Zhangjiakou	Asia	China	2024-12-16T00:00:00Z	2024-12-16T00:00:00Z
PQ206573.1	7182.0			2019-03-16	China	Asia	China	2025-09-01T00:00:00Z	2025-09-01T00:00:00Z
PQ206572.1	7201.0			2019-03-16	China	Asia	China	2025-09-01T00:00:00Z	2025-09-01T00:00:00Z
PQ206571.1	7201.0			2019-03-16	China	Asia	China	2025-09-01T00:00:00Z	2025-09-01T00:00:00Z
PQ206570.1	7184.0			2019-03-16	China	Asia	China	2025-09-01T00:00:00Z	2025-09-01T00:00:00Z
