SequenceID	Genotype
ref_NC_004102	1a
ref_M62321	1a
ref_M67463	1a
ref_HQ850279	1a
ref_EF407457	1a
ref_D90208	1b
ref_M58335	1b
ref_EU781827	1b
ref_EU781828	1b
ref_D14853	1c
ref_AY051292	1c
ref_AY651061	1c
ref_KJ439768	1d
ref_KC248194	1e
ref_AM910652	1g
ref_KC248198	1h
ref_KC248199	1h
ref_KJ439772	1i
ref_KJ439773	1j
ref_KC248193	1l
ref_KC248197	1l
ref_KC248196	1l
ref_KJ439778	1m
ref_KJ439782	1m
ref_KJ439781	1n
ref_KJ439775	1n
ref_KJ439774	1k
ref_D00944	2a
ref_AB047639	2a
ref_HQ639944	2a
ref_D10988	2b
ref_AB030907	2b
ref_AB661388	2b
ref_AB661382	2b
ref_D50409	2c
ref_JX227949	2c
ref_JF735114	2d
ref_JF735120	2e
ref_KC844042	2f
ref_KC844050	2f
ref_DQ155561	2i
ref_HM777358	2j
ref_JF735113	2j
ref_HM777359	2j
ref_AB031663	2k
ref_JX227953	2k
ref_KC197235	2l
ref_KC197240	2l
ref_JF735111	2m
ref_JX227967	2m
ref_FN666428	2q
ref_FN666429	2q
ref_JF735115	2r
ref_KC197238	2t
ref_JF735112	2u
ref_NC_009824	3a
ref_D28917	3a
ref_X76918	3a
ref_JN714194	3a
ref_D49374	3b
ref_JQ065709	3b
ref_KJ470619	3d
ref_KJ470618	3e
ref_JX227954	3g
ref_JF735123	3g
ref_JF735121	3h
ref_JF735126	3h
ref_FJ407092	3i
ref_JX227955	3i
ref_D63821	3k
ref_JF735122	3k
ref_NC_009825	4a
ref_DQ988074	4a
ref_DQ418789	4a
ref_FJ462435	4b
ref_FJ462436	4c
ref_DQ418786	4d
ref_FJ462437	4d
ref_EU392172	4d
ref_EF589161	4f
ref_EU392175	4f
ref_EU392174	4f
ref_FJ462432	4g
ref_JX227971	4g
ref_JX227963	4g
ref_EU392173	4k
ref_FJ462438	4k
ref_EU392171	4k
ref_FJ839870	4l
ref_JX227957	4l
ref_FJ462433	4m
ref_JX227972	4m
ref_FJ462441	4n
ref_JX227970	4n
ref_FJ462440	4o
ref_JX227977	4o
ref_FJ462431	4p
ref_FJ462434	4q
ref_FJ462439	4r
ref_JF735136	4s
ref_JX227976	4r
ref_FJ839869	4t
ref_HQ537009	4v
ref_JX227959	4v
ref_HQ537008	4v
ref_JX227960	4v
ref_FJ025855	4w
ref_FJ025856	4w
ref_AF064490	5a
ref_NC_009826	5a
ref_Y12083	6a
ref_AY859526	6a
ref_HQ639936	6a
ref_EU246930	6a
ref_NC_009827	6b
ref_EF424629	6c
ref_D84263	6d
ref_DQ314805	6e
ref_EU246932	6e
ref_EU246931	6e
ref_DQ835760	6f
ref_EU246936	6f
ref_D63822	6g
ref_DQ314806	6g
ref_D84265	6h
ref_DQ835770	6i
ref_DQ835762	6i
ref_DQ835769	6j
ref_DQ835761	6j
ref_D84264	6k
ref_EF424628	6l
ref_JX183556	6l
ref_DQ835767	6m
ref_DQ835766	6m
ref_DQ278894	6n
ref_DQ835768	6n
ref_EU246938	6n
ref_EF424627	6o
ref_EU246934	6o
ref_EF424626	6p
ref_EF424625	6q
ref_EU408328	6r
ref_EU408329	6s
ref_EF632071	6t
ref_EU246939	6t
ref_EU246940	6u
ref_EU158186	6v
ref_EU798760	6v
ref_EU798761	6v
ref_DQ278892	6w
ref_EU643834	6w
ref_EU643836	6w
ref_EU408330	6xa
ref_EU408332	6xa
ref_EU408331	6xa
ref_JX183552	6xb
ref_KJ567645	6xb
ref_KJ567651	6xc
ref_KM252789	6xd
ref_KM252790	6xd
ref_KM252791	6xd
ref_JX183557	6xe
ref_KM252792	6xe
ref_NC_030791	7a
ref_AJ851228	1
ref_KC248195	1
ref_HQ537007	1
ref_KJ439780	1
ref_KJ439779	1
ref_KJ439776	1
ref_KJ439777	1
ref_JF735119	2
ref_JF735110	2
ref_JF735117	2
ref_JF735116	2
ref_JF735118	2
ref_KC197236	2
ref_KC197237	2
ref_KC197239	2
ref_JF735124	3
ref_JX227964	4
ref_FJ025854	4
ref_JF735127	4
ref_JF735132	4
ref_JF735131	4
ref_JF735130	4
ref_JF735129	4
ref_JF735138	4
ref_JF735135	4
ref_JF735134	4
ref_DQ278891	6
ref_DQ278893	6
ref_JX183550	6
ref_JX183549	6
ref_JX183551	6
ref_JX183553	6
ref_JX183554	6
ref_JX183558	6
ref_KJ470620	6
ref_KJ470621	6
ref_KJ470622	6
ref_KJ470623	6
ref_KJ470624	6
ref_KJ470625	6
ref_KC844039	6
ref_KC844040	6
ref_L38350	1f
ref_L38371	1f
ref_X93323	2g
ref_X93327	2h
ref_L39309	2n
ref_L44602	2n
ref_L38333	2o
ref_L38373	2o
ref_L39300	2p
ref_L44601	2p
ref_JQ924942	2s
ref_HM777447	2s
ref_HM777332	2s
ref_D16612	3c
ref_D14198	3c
ref_D16613	3c
ref_D16614	3f
ref_D14203	3f
ref_D16615	3f
ref_L78842	3f
ref_L29629	4e
ref_L29589	4e
ref_L29590	4e
ref_L29626	4e
ref_L29610	4h
ref_L29611	4h
ref_AJ291249	4h
ref_L36439	4i
ref_L36437	4i
ref_L36438	4j
ref_AY587845	RF2k_1b
ref_DQ155560	RF2i_6p
ref_DQ364460	RF2b_1b_1
ref_AM408911	RF2_5
ref_EU643835	RF2b_6w
ref_AB622121	RF2b_1b_2
ref_JF779679	RF2b_1a
ref_AB677530	RF2b_1b_3
ref_AB677527	RF2b_1b_4
