sequence_id	is_recombinant	breakpoint_start	breakpoint_end	p_value	methods	parent_1	parent_2
PX971288.1	false	0	0				
PV089671.1	false	0	0				
PV089670.1	true	8250	10432	0.000000396074	3Seq	ref_KJ496143	ref_KJ013415
PV089669.1	true	7822	8358	0.000000000235	3Seq	ref_EU723513	ref_DQ450072
PV089668.1	true	84	8381	0.000000000313	3Seq	ref_KJ013415	ref_DQ450072
PV089667.1	true	84	8381	0.000000002196	3Seq	ref_KJ013415	ref_DQ450072
PV089666.1	true	21	8206	0.000000061407	3Seq	ref_KJ013415	ref_KJ496143
PV089665.1	true	84	8381	0.000000010766	3Seq	ref_KJ013415	ref_DQ450072
PV089664.1	true	84	8381	0.000000000549	3Seq	ref_KJ013415	ref_DQ450072
PV089663.1	true	84	8381	0.000000000728	3Seq	ref_KJ013415	ref_DQ450072
PV089662.1	true	84	8381	0.000000001375	3Seq	ref_KJ013415	ref_DQ450072
PQ878621.1	false	0	0				
PQ557138.1	true	53	8405	0.000000000000	3Seq	ref_KJ013415	ref_JQ013791
PQ557137.1	true	126	8405	0.000000000000	3Seq	ref_KJ013415	ref_JQ013791
PQ557136.1	true	28	8501	0.000000000000	3Seq	ref_KJ013415	ref_JQ013791
PQ557135.1	true	53	8239	0.000000000000	3Seq	ref_KJ013415	ref_FJ705359
PQ557134.1	true	90	8405	0.000000000000	3Seq	ref_KJ013415	ref_JQ013791
PP982543.1	true	44	8159	0.000000034298	3Seq	ref_KJ013415	ref_KJ496144
PP706698.1	true	7859	8732	0.000000102462	3Seq	ref_FJ906895	ref_DQ450072
OQ286030.1	true	7921	8385	0.000000064685	3Seq	ref_AB248521	ref_DQ450072
MW837255.1	false	0	0				
MW837253.1	false	0	0				
MW596896.1	false	0	0				
MW383253.1	false	0	0				
MW355404.1	false	0	0				
MW355403.1	false	0	0				
MW355402.1	true	8250	10294	0.000000030436	3Seq	ref_KJ496143	ref_KJ013415
MW355401.1	false	0	0				
MW355400.1	true	103	9575	0.000000032319	3Seq	ref_KJ013415	ref_AP003430
MW355399.1	true	8502	10317	0.000000000424	3Seq	ref_KJ496143	ref_KJ013415
MW355398.1	true	8475	10306	0.000000021924	3Seq	ref_KJ496143	ref_KJ013415
MW355397.1	false	0	0				
MW355396.1	false	0	0				
MW355395.1	false	0	0				
MW355394.1	false	0	0				
MW355393.1	false	0	0				
MW355392.1	false	0	0				
MW355391.1	true	8250	10294	0.000000000569	3Seq	ref_KJ496143	ref_KJ013415
MW355390.1	false	0	0				
MW355389.1	false	0	0				
MW355388.1	true	2352	8632	0.000000370413	3Seq	ref_AJ272108	ref_DQ450072
MW355387.1	false	0	0				
MW355386.1	true	44	8250	0.000000033521	3Seq	ref_KJ013415	ref_KJ496143
MW355385.1	true	7817	8732	0.000000018751	3Seq	ref_FJ906895	ref_DQ450072
MW355384.1	true	84	8555	0.000000170703	3Seq	ref_KJ013415	ref_DQ450072
MW355383.1	true	44	8409	0.000000189029	3Seq	ref_KJ013415	ref_KJ496143
MW355382.1	false	0	0				
MW355381.1	true	261	8308	0.000000000000	3Seq	ref_EU723513	ref_AB369687
MW355380.1	false	0	0				
MW355379.1	true	8500	10174	0.000000073670	3Seq	ref_KJ496143	ref_KJ013415
MW355378.1	true	8409	10301	0.000000023344	3Seq	ref_KJ496144	ref_KJ013415
MW355377.1	false	0	0				
MW355376.1	false	0	0				
MW355375.1	false	0	0				
MW355374.1	true	8500	10294	0.000000019241	3Seq	ref_KJ496143	ref_KJ013415
MW355373.1	true	8601	8902	0.000000387597	3Seq	ref_JQ953664	ref_KJ013415
MW355372.1	true	8500	10294	0.000000003155	3Seq	ref_KJ496143	ref_KJ013415
MW355371.1	true	8206	10432	0.000000198856	3Seq	ref_KJ496143	ref_KJ013415
MW355370.1	true	8159	10280	0.000000035049	3Seq	ref_KJ496144	ref_KJ013415
MW355369.1	true	44	8436	0.000000436622	3Seq	ref_KJ013415	ref_KJ496143
MW355368.1	false	0	0				
MW355367.1	true	7809	8358	0.000000001354	3Seq	ref_EU723513	ref_DQ450072
MW355366.1	false	0	0				
MW355365.1	true	44	8206	0.000000013084	3Seq	ref_KJ013415	ref_KJ496143
MW355364.1	true	8502	10285	0.000000049116	3Seq	ref_KJ496143	ref_KJ013415
MW355363.1	true	44	8250	0.000000077892	3Seq	ref_KJ013415	ref_KJ496143
MW355362.1	false	0	0				
MW355361.1	false	0	0				
MW355360.1	true	103	8500	0.000000214459	3Seq	ref_KJ013415	ref_KJ496143
MW355359.1	false	0	0				
MW355358.1	false	0	0				
MW355357.1	true	7817	8732	0.000000034709	3Seq	ref_FJ906895	ref_DQ450072
MW355356.1	true	261	8308	0.000000000000	3Seq	ref_EU723513	ref_AB369687
MW355355.1	true	65	8308	0.000000000000	3Seq	ref_EU723513	ref_AB369687
MW355354.1	false	0	0				
MW355353.1	false	0	0				
MW355352.1	false	0	0				
MW355351.1	false	0	0				
MW355350.1	false	0	0				
MW355349.1	false	0	0				
MW355348.1	false	0	0				
MW355347.1	true	8500	10294	0.000000014170	3Seq	ref_KJ496143	ref_KJ013415
MW355346.1	false	0	0				
MW355345.1	true	84	8555	0.000000107479	3Seq	ref_KJ013415	ref_DQ450072
MW355344.1	false	0	0				
MW355343.1	false	0	0				
MW355342.1	false	0	0				
MW355341.1	true	8500	10294	0.000000034859	3Seq	ref_KJ496143	ref_KJ013415
MW355340.1	false	0	0				
MW355339.1	false	0	0				
MW355338.1	true	44	8436	0.000000207781	3Seq	ref_KJ013415	ref_KJ496144
MW355337.1	false	0	0				
MW355336.1	false	0	0				
MW355335.1	true	44	8206	0.000000007535	3Seq	ref_KJ013415	ref_KJ496143
MW355334.1	true	8500	10294	0.000000034859	3Seq	ref_KJ496143	ref_KJ013415
MW355333.1	false	0	0				
MW355332.1	true	8409	10301	0.000000277098	3Seq	ref_KJ496144	ref_KJ013415
MW355331.1	false	0	0				
MW355330.1	true	8475	10306	0.000000066449	3Seq	ref_KJ496143	ref_KJ013415
MW355329.1	false	0	0				
MW355328.1	true	8409	10301	0.000000090536	3Seq	ref_KJ496144	ref_KJ013415
MW355327.1	true	44	8250	0.000000080349	3Seq	ref_KJ013415	ref_KJ496143
MW355326.1	false	0	0				
MW355325.1	true	235	8308	0.000000000000	3Seq	ref_EU723513	ref_AB369687
MW355324.1	false	0	0				
MW355323.1	true	7817	8570	0.000000119027	3Seq	ref_FJ906895	ref_DQ450072
MW355322.1	true	8250	10174	0.000000018335	3Seq	ref_KJ496143	ref_KJ013415
MW355321.1	true	44	8251	0.000000000076	3Seq	ref_KJ013415	ref_KJ496143
MW355320.1	true	8409	10288	0.000000135059	3Seq	ref_KJ496144	ref_KJ013415
MW355319.1	true	8596	8948	0.000000017788	3Seq	ref_AP003430	ref_KJ013415
MW355318.1	true	261	8308	0.000000000000	3Seq	ref_EU723513	ref_AB369687
MW355317.1	true	8500	10294	0.000000307594	3Seq	ref_KJ496143	ref_KJ013415
MW355316.1	true	8409	10280	0.000000205037	3Seq	ref_KJ496144	ref_KJ013415
MW355315.1	false	0	0				
MW355314.1	true	8250	10294	0.000000047103	3Seq	ref_KJ496143	ref_KJ013415
MW355313.1	true	44	8245	0.000000006374	3Seq	ref_KJ013415	ref_KJ496144
MW355312.1	true	8500	10294	0.000000013634	3Seq	ref_KJ496143	ref_KJ013415
MW355311.1	false	0	0				
MW355310.1	true	8429	10017	0.000000001101	3Seq	ref_AB369687	ref_EU723513
MW355309.1	true	8409	10301	0.000000038614	3Seq	ref_KJ496144	ref_KJ013415
MW355308.1	false	0	0				
MW355307.1	true	7855	8325	0.000000018978	3Seq	ref_EU723513	ref_DQ450072
MW355306.1	false	0	0				
MW355305.1	true	8429	9851	0.000000001216	3Seq	ref_AB369687	ref_EU723513
MW355304.1	true	7817	8570	0.000000142336	3Seq	ref_FJ906895	ref_DQ450072
MW355303.1	true	44	8206	0.000000000008	3Seq	ref_KJ013415	ref_KJ496143
MW355302.1	true	7875	8333	0.000000026081	3Seq	ref_KJ873911	ref_DQ450072
MW355301.1	true	44	9771	0.000000005811	3Seq	ref_KJ013415	ref_AP003430
MW355300.1	true	8250	10294	0.000000025644	3Seq	ref_KJ496143	ref_KJ013415
MW355299.1	true	8429	10017	0.000000001403	3Seq	ref_AB369687	ref_EU723513
MW355298.1	true	44	8250	0.000000113952	3Seq	ref_KJ013415	ref_KJ496144
MW355297.1	true	7817	8732	0.000000107834	3Seq	ref_FJ906895	ref_DQ450072
MW355296.1	false	0	0				
MW355295.1	true	7809	8358	0.000000342644	3Seq	ref_EU723513	ref_DQ450072
MW355294.1	true	7862	8570	0.000000066985	3Seq	ref_FJ906895	ref_DQ450072
MW355293.1	true	8500	10294	0.000000020981	3Seq	ref_KJ496143	ref_KJ013415
MW355292.1	true	8429	10148	0.000000344128	3Seq	ref_AB369687	ref_EU723513
MW355291.1	true	8250	10411	0.000000262551	3Seq	ref_KJ496143	ref_KJ013415
MW355290.1	false	0	0				
MW355289.1	false	0	0				
MW355288.1	true	7790	8385	0.000000000024	3Seq	ref_EU723513	ref_DQ450072
MW355287.1	true	8250	10300	0.000000002754	3Seq	ref_KJ496144	ref_KJ013415
MW355286.1	true	7809	8358	0.000000012432	3Seq	ref_EU723513	ref_DQ450072
MW355285.1	false	0	0				
MW355284.1	true	44	8250	0.000000147127	3Seq	ref_KJ013415	ref_KJ496143
MW355283.1	true	8500	10294	0.000000011017	3Seq	ref_KJ496143	ref_KJ013415
MW355282.1	true	8500	10294	0.000000001016	3Seq	ref_KJ496143	ref_KJ013415
MW355281.1	false	0	0				
MW355280.1	true	7817	8732	0.000000126421	3Seq	ref_FJ906895	ref_DQ450072
MW355279.1	false	0	0				
MW355278.1	true	44	8250	0.000000155615	3Seq	ref_KJ013415	ref_KJ496143
MW355277.1	true	7817	8731	0.000000018040	3Seq	ref_FJ906895	ref_DQ450072
MW355276.1	false	0	0				
MW355275.1	false	0	0				
MW355274.1	true	235	8308	0.000000000000	3Seq	ref_EU723513	ref_AB369687
MW355273.1	true	7817	8570	0.000000059818	3Seq	ref_FJ906895	ref_DQ450072
MW002523.1	true	72	8238	0.000000000000	3Seq	ref_KJ013415	ref_JQ953664
MW002522.1	true	63	8239	0.000000000000	3Seq	ref_KJ013415	ref_JQ013791
MT362712.1	true	7817	10060	0.000000001836	3Seq	ref_FJ906895	ref_DQ450072
MT362711.1	true	7817	8570	0.000000138211	3Seq	ref_FJ906895	ref_DQ450072
MW355272.1	false	0	0				
MW355271.1	true	7790	8361	0.000000000426	3Seq	ref_KJ873911	ref_DQ450072
MW355270.1	true	8409	10301	0.000000050775	3Seq	ref_KJ496144	ref_KJ013415
MW355269.1	true	44	8206	0.000000000069	3Seq	ref_KJ013415	ref_KJ496143
MW355268.1	true	8409	10301	0.000000027515	3Seq	ref_KJ496144	ref_KJ013415
MW355267.1	true	8500	10306	0.000000025886	3Seq	ref_KJ496143	ref_KJ013415
MW355266.1	true	261	8308	0.000000000000	3Seq	ref_EU723513	ref_AB369687
MW355265.1	false	0	0				
MW355264.1	true	44	8500	0.000000070407	3Seq	ref_KJ013415	ref_KJ496143
MW355263.1	true	8501	10294	0.000000045779	3Seq	ref_KJ496143	ref_KJ013415
MW355262.1	true	8500	10294	0.000000019966	3Seq	ref_KJ496143	ref_KJ013415
MW355261.1	false	0	0				
MW355260.1	false	0	0				
MW355259.1	false	0	0				
MW355258.1	false	0	0				
