sequence_id	genotype	is_recombinant	breakpoint_start	breakpoint_end	p_value	methods	parent_1	parent_2	p1_identity_recomb	p2_identity_recomb	p1_identity_nonrecomb	p2_identity_nonrecomb
KF779343.1	Genotype D	true	2644	3012	0.000000033003	3Seq	ref_FJ904435	ref_EU594385	0.9160	0.9675	0.9648	0.9211
KF779250.1	Genotype D	true	2117	2411	0.000000000003	3Seq	ref_NC_003977	ref_GQ377617	0.8834	0.9611	0.9788	0.9270
KF779237.1	Genotype D	true	2188	2411	0.000000000129	3Seq	ref_NC_003977	ref_AP011098	0.8491	0.9434	0.9784	0.9321
LC882185.1	Genotype C	true	1464	4771	0.000000015597	3Seq	ref_AB562463	ref_AP011099	0.9190	0.9583	0.9518	0.9286
MW999633.1	Genotype C	true	1374	2291	0.000000000000	3Seq	ref_GQ377617	ref_FJ904435	0.9441	0.9888	0.9735	0.8962
KJ410512.1	Genotype C	true	641	4096	0.000000000000	3Seq	ref_JQ801514	ref_KC774182	0.9144	0.9902	0.9701	0.9090
JX661485.1	Genotype C	true	1530	4109	0.000000000025	3Seq	ref_AP011085	ref_KC774182	0.9185	0.9844	0.9664	0.8926
KJ173295.1	Genotype C	true	1464	4771	0.000000027791	3Seq	ref_AB562463	ref_AP011099	0.9251	0.9621	0.9462	0.9212
KR014084.1	Genotype C	true	1464	4771	0.000000019422	3Seq	ref_AB562463	ref_AP011099	0.9173	0.9551	0.9509	0.9268
KR014057.1	Genotype C	true	1464	4771	0.000000003692	3Seq	ref_AB562463	ref_AP011099	0.9195	0.9555	0.9564	0.9267
KR014056.1	Genotype C	true	1464	4771	0.000000004690	3Seq	ref_AB562463	ref_AP011099	0.9171	0.9532	0.9562	0.9270
KR014007.1	Genotype C	true	1464	4771	0.000000008979	3Seq	ref_AB562463	ref_AP011099	0.9176	0.9537	0.9520	0.9226
KR014005.1	Genotype C	true	1464	4771	0.000000013326	3Seq	ref_AB562463	ref_AP011099	0.9171	0.9551	0.9475	0.9202
KR014004.1	Genotype C	true	1464	4771	0.000000008979	3Seq	ref_AB562463	ref_AP011099	0.9167	0.9527	0.9551	0.9256
KR014002.1	Genotype C	true	1464	4771	0.000000008979	3Seq	ref_AB562463	ref_AP011099	0.9162	0.9522	0.9498	0.9204
KR014001.1	Genotype C	true	1464	4771	0.000000002181	3Seq	ref_AB562463	ref_AP011099	0.9178	0.9565	0.9553	0.9258
KR014000.1	Genotype C	true	1464	4771	0.000000005578	3Seq	ref_AB562463	ref_AP011099	0.9185	0.9569	0.9537	0.9263
KR013999.1	Genotype C	true	1464	4771	0.000000007436	3Seq	ref_AB562463	ref_AP011099	0.9180	0.9546	0.9542	0.9248
KR013985.1	Genotype C	true	1533	4771	0.000000034969	3Seq	ref_AB562463	ref_AP011099	0.9198	0.9580	0.9529	0.9302
KR013948.1	Genotype C	true	1457	4771	0.000000031226	3Seq	ref_AB562463	ref_AP011099	0.9235	0.9552	0.9573	0.9246
KR013947.1	Genotype C	true	1457	4771	0.000000013410	3Seq	ref_AB562463	ref_AP011099	0.9216	0.9547	0.9606	0.9280
KR013815.1	Genotype C	true	1533	4771	0.000000029410	3Seq	ref_AB562463	ref_AP011099	0.9193	0.9580	0.9529	0.9302
KR013811.1	Genotype C	true	1533	4771	0.000000029410	3Seq	ref_AB562463	ref_AP011099	0.9203	0.9589	0.9538	0.9311
KF214653.1	Genotype C	true	1533	4771	0.000000003756	3Seq	ref_AB562463	ref_AP011099	0.9198	0.9546	0.9374	0.9055
KC774204.1	Genotype C	true	1530	4656	0.000000020631	3Seq	ref_AM184126	ref_GQ161817	0.9180	0.9379	0.9121	0.8550
KJ598687.1	Genotype C	true	1464	4771	0.000000034969	3Seq	ref_AB562463	ref_AP011099	0.9218	0.9588	0.9537	0.9296
KJ598661.1	Genotype C	true	1533	4771	0.000000017646	3Seq	ref_AB562463	ref_AP011099	0.9236	0.9609	0.9546	0.9302
KJ598658.1	Genotype C	true	1533	4771	0.000000018000	3Seq	ref_AB562463	ref_AP011099	0.9232	0.9609	0.9539	0.9300
KJ598642.1	Genotype C	true	1533	4771	0.000000021295	3Seq	ref_AB562463	ref_AP011099	0.9217	0.9584	0.9564	0.9319
KJ598641.1	Genotype C	true	1533	4771	0.000000021295	3Seq	ref_AB562463	ref_AP011099	0.9222	0.9589	0.9546	0.9302
KJ598640.1	Genotype C	true	1533	4771	0.000000009847	3Seq	ref_AB562463	ref_AP011099	0.9222	0.9604	0.9564	0.9319
KJ598639.1	Genotype C	true	1533	4771	0.000000009847	3Seq	ref_AB562463	ref_AP011099	0.9246	0.9628	0.9564	0.9319
KJ598637.1	Genotype C	true	1533	4771	0.000000011869	3Seq	ref_AB562463	ref_AP011099	0.9193	0.9570	0.9564	0.9319
KJ598636.1	Genotype C	true	1533	4771	0.000000017646	3Seq	ref_AB562463	ref_AP011099	0.9241	0.9613	0.9564	0.9319
FJ562313.1	Genotype C	true	641	5584	0.000000038572	3Seq	ref_DQ089781	ref_GQ377617	0.9622	0.9881	0.9893	0.9502
FJ562286.1	Genotype C	true	1893	5139	0.000000007697	3Seq	ref_AM184126	ref_AP011085	0.9032	0.9446	0.9172	0.8819
FJ562266.1	Genotype C	true	1464	4771	0.000000034969	3Seq	ref_AB562463	ref_AP011099	0.9199	0.9569	0.9518	0.9277
FJ386616.1	Genotype C	true	1488	4771	0.000000031291	3Seq	ref_AB562463	ref_AP011099	0.9219	0.9574	0.9359	0.9088
EU939659.1	Genotype C	true	1464	4771	0.000000041626	3Seq	ref_AB562463	ref_AP011099	0.9171	0.9537	0.9453	0.9212
EU939645.1	Genotype C	true	1464	4771	0.000000002875	3Seq	ref_AB562463	ref_AP011099	0.9209	0.9597	0.9442	0.9152
EU939602.1	Genotype C	true	1464	4771	0.000000011221	3Seq	ref_AB562463	ref_AP011099	0.9218	0.9602	0.9492	0.9233
HM011502.1	Genotype C	true	1533	4771	0.000000000666	3Seq	ref_AB562463	ref_AP011099	0.9203	0.9584	0.9536	0.9241
EU916227.1	Genotype C	true	1464	4771	0.000000003245	3Seq	ref_AB562463	ref_AP011099	0.9260	0.9625	0.9509	0.9185
FJ518810.1	Genotype C	true	1533	4771	0.000000005945	3Seq	ref_AB562463	ref_AP011099	0.9203	0.9584	0.9563	0.9286
MN104805.1	Genotype A	true	2858	3244	0.000000014886	3Seq	ref_KP168423	ref_AB073835	0.9089	0.9714	0.9628	0.9235
KF779213.1	Genotype A	true	2943	3083	0.000000112431	3Seq	ref_X02763	ref_AB222711	0.9007	0.9858	0.9860	0.9345
PX522131.1	Genotype I	true	1471	2170	0.000000014759	3Seq	ref_FJ904435	ref_GQ161817	0.9227	0.9530	0.9524	0.9056
PP921797.1	Genotype I	true	293	1880	0.000000000000	3Seq	ref_AB562463	ref_AP011099	0.9338	0.9666	0.9798	0.9172
MZ439786.1	Genotype I	true	93	1396	0.000000000000	3Seq	ref_AP011098	ref_AB056513	0.9098	0.9393	0.9385	0.8551
MH746813.1	Genotype I	true	48	624	0.000000000000	3Seq	ref_AB562463	ref_JQ801514	0.9185	0.9757	0.9822	0.9117
MH746812.1	Genotype I	true	624	3250	0.000000000000	3Seq	ref_JQ801514	ref_AB562463	0.9124	0.9829	0.9669	0.9071
MH746811.1	Genotype I	true	661	3250	0.000000000000	3Seq	ref_JQ801514	ref_AB562463	0.9099	0.9807	0.9717	0.9137
KP148500.1	Genotype I	true	1473	3093	0.000000000000	3Seq	ref_AB056513	ref_KJ173333	0.8472	0.9428	0.9322	0.9082
KP148496.1	Genotype I	true	1473	3093	0.000000000000	3Seq	ref_AB056513	ref_KJ173333	0.8472	0.9428	0.9335	0.9094
KF214680.1	Genotype I	true	1385	3093	0.000000000000	3Seq	ref_AB056513	ref_KJ173333	0.8505	0.9338	0.9290	0.8985
KC774492.1	Genotype I	true	816	3250	0.000000000000	3Seq	ref_FJ904435	ref_AP011098	0.8870	0.9803	0.9879	0.9407
EU522069.1	Genotype I	true	350	1070	0.000000028380	3Seq	ref_KF873526	ref_D23679	0.9029	0.9320	0.9509	0.8977
